Country,Democracy Index
Mongolia,6.53
"Hong Kong SAR, China",5.09
Thailand,6.27
Cambodia,2.94
Austria,8.28
Kenya,5.05
Trinidad and Tobago,7.09
Paraguay,5.92
Lebanon,3.56
Uganda,4.49
Eritrea,1.97
"Korea, Rep.",7.75
Lao PDR,1.71
Romania,5.99
Bulgaria,6.34
Zambia,5.73
Algeria,3.55
Uruguay,8.67
Burundi,2.13
Mozambique,3.38
Colombia,6.35
Japan,8.48
Oman,3.05
"Egypt, Arab Rep.",2.79
Sierra Leone,4.32
India,7.29
Zimbabwe,2.98
Europe,7.4105
Guyana,6.11
Libya,2.31
Eswatini,2.6
Iraq,2.8
Ecuador,5.24
Djibouti,2.7
Ethiopia,3.24
Qatar,3.17
Kuwait,2.78
Panama,6.84
Brazil,6.49
Serbia,6.26
Guinea,2.04
Fiji,5.39
Montenegro,6.73
Chile,7.83
World,5.174551
Indonesia,6.44
Mali,2.4
United Arab Emirates,3.07
Latvia,7.66
Lesotho,6.06
Asia,4.063404
Namibia,6.48
Slovenia,7.82
Cote d'Ivoire,4.22
Costa Rica,8.29
Guatemala,4.55
Bhutan,5.65
Sudan,1.46
Norway,9.81
Czechia,8.08
Lithuania,7.59
New Zealand,9.61
Moldova,6.04
Viet Nam,2.62
Belgium,7.64
Luxembourg,8.88
Philippines,6.63
Timor-Leste,7.03
Tanzania,5.2
Australia,8.85
Hungary,6.51
Greece,8.07
Suriname,6.79
Myanmar,0.96
Papua New Guinea,5.97
China,2.11
Togo,2.99
South Africa,7.16
Nepal,4.6
United Kingdom,8.34
Cameroon,2.56
Africa,3.9166
Argentina,6.51
Burkina Faso,2.55
Chad,1.89
El Salvador,4.61
South America,6.0091667
Cyprus,7.38
Morocco,4.97
Cabo Verde,7.58
Rwanda,3.34
Turkmenistan,1.66
Estonia,8.13
Gabon,2.18
Sri Lanka,6.19
"Taiwan, China",8.78
Spain,8.13
Comoros,2.84
Malawi,5.85
Tunisia,4.71
"Congo, Rep.",2.79
Haiti,2.74
Finland,9.3
Bolivia,4.26
Kyrgyz Republic,3.52
Liberia,5.57
Bosnia and Herzegovina,5.06
Singapore,6.18
Benin,4.44
Malaysia,7.11
Italy,7.58
Saudi Arabia,2.08
Canada,8.69
Niger,2.26
Turkiye,4.26
Albania,6.2
Bahrain,2.45
Central African Republic,1.18
Malta,7.93
Cuba,2.58
Iceland,9.38
United States,7.85
Russian Federation,2.03
Azerbaijan,2.8
Nigeria,4.16
France,7.99
Ireland,9.19
Jordan,3.28
Equatorial Guinea,1.92
Uzbekistan,2.1
"Yemen, Rep.",1.95
North America,5.642143
Madagascar,5.33
Mauritania,3.96
"Gambia, The",4.47
Germany,8.73
Poland,7.4
Syrian Arab Republic,1.32
West Bank and Gaza,3.44
"Iran, Islamic Rep.",1.96
Netherlands,9
Portugal,8.08
Ukraine,4.9
Sweden,9.39
Israel,7.8
Mexico,5.32
Peru,5.69
Honduras,4.98
Denmark,9.28
Kazakhstan,3.08
Jamaica,6.74
"Congo, Dem. Rep.",1.92
Dominican Republic,6.62
North Macedonia,6.28
Botswana,7.63
Angola,4.05
Slovak Republic,7.21
Senegal,5.93
"Korea, Dem. People's Rep.",1.08
Pakistan,2.84
Oceania,7.455
Afghanistan,0.25
"Venezuela, RB",2.25
Switzerland,9.32
Guinea-Bissau,2.03
Ghana,6.24
Croatia,6.5
Georgia,4.7
Bangladesh,4.44
Armenia,5.35
Belarus,1.99
Nicaragua,2.09
Mauritius,8.23
Tajikistan,1.83
