Country,GDP per Capita
Afghanistan,no data
Albania,10526.859
Algeria,5690.504
Andorra,45263.077
Angola,2884.268
Antigua and Barbuda,22630.226
Argentina,14362.247
Armenia,8856.811
Aruba,37775.045
Australia,64547.098
Austria,58191.922
Azerbaijan,7604.382
"Bahamas, The",36783.802
Bahrain,28857.116
Bangladesh,2689.241
Barbados,25901.275
Belarus,7875.358
Belgium,57772.418
Belize,8648.424
Benin,1531.868
Bhutan,4302.305
Bolivia,4525.201
Bosnia and Herzegovina,8361.712
Botswana,7020.672
Brazil,9964.1
Brunei Darussalam,34969.745
Bulgaria,18521.929
Burkina Faso,1106.535
Burundi,489.941
Cabo Verde,5421.138
Cambodia,2869.65
Cameroon,1865.064
Canada,53558.062
Central African Republic,531.751
Chad,991.084
Chile,17015.08
"China, People's Republic of",13687.267
Colombia,8054.24
Comoros,1701.519
"Congo, Dem. Rep. of the",742.54
"Congo, Republic of ",2355.902
Costa Rica,19095.412
Croatia,25673.571
Cyprus,41131.617
Czech Republic,33039.214
Côte d'Ivoire,2872.045
Denmark,74969.186
Djibouti,4343.352
Dominica,9869.015
Dominican Republic,11743.088
Ecuador,6942.1
Egypt,3173.523
El Salvador,5722.048
Equatorial Guinea,7750.401
Eritrea,no data
Estonia,32760.31
Eswatini,4613.023
Ethiopia,1066.36
Fiji,6740.344
Finland,54162.987
France,46792.41
Gabon,8841.712
"Gambia, The",987.643
Georgia,9571.019
Germany,55911.042
Ghana,2519.144
Greece,25756.247
Grenada,12590.858
Guatemala,6698.035
Guinea,1904.336
Guinea-Bissau,1126.259
Guyana,32326.323
Haiti,2671.65
Honduras,3519.256
Hong Kong SAR,56030.943
Hungary,24808.806
Iceland,90283.813
India,2878.453
Indonesia,5026.539
Iran,3897.301
Iraq,5668.215
Ireland,108919.254
Israel,57760.129
Italy,41091.258
Jamaica,7777.811
Japan,33955.711
Jordan,4903.104
Kazakhstan,14768.019
Kenya,2467.923
Kiribati,2414.191
"Korea, Republic of",34641.743
Kosovo,7146.994
Kuwait,29950.731
Kyrgyz Republic,2746.617
Lao P.D.R.,2095.808
Latvia,24374.291
Lebanon,no data
Lesotho,1097.84
Liberia,907.636
Libya,6800.756
Lithuania,30835.023
Luxembourg,140940.549
Macao SAR,76314.4
Madagascar,594.938
Malawi,580.245
Malaysia,13144.983
Maldives,18207.034
Mali,936.158
Malta,45734.952
Marshall Islands,8132.554
Mauritania,2477.849
Mauritius,12332.319
Mexico,12691.551
"Micronesia, Fed. States of",5290.934
Moldova,8259.933
Mongolia,7200.555
Montenegro,13507.777
Morocco,4397.417
Mozambique,663.34
Myanmar,1176.908
Namibia,4661.351
Nauru,12727.025
Nepal,1457.911
Netherlands,70479.563
New Zealand,46126.047
Nicaragua,3019.105
Niger,751.037
Nigeria,806.841
North Macedonia ,9882.244
Norway,89693.652
Oman,18966.341
Pakistan,no data
Palau,18992.731
Panama,20079.624
Papua New Guinea,2564.698
Paraguay,6521.508
Peru,8814.375
Philippines,4349.735
Poland,26805.13
Portugal,30002.01
Puerto Rico,38605.368
Qatar,71652.89
Romania,21421.047
Russian Federation,14257.845
Rwanda,1042.998
Saint Kitts and Nevis,21911.388
Saint Lucia,14498.641
Saint Vincent and the Grenadines,11161.565
Samoa,5470.826
San Marino,59603.302
Saudi Arabia,30098.871
Senegal,1811.269
Serbia,14173.812
Seychelles,21632.719
Sierra Leone,915.81
Singapore,92932.142
Slovak Republic,27130.257
Slovenia,35332.11
Solomon Islands,2378.548
Somalia,766.013
South Africa,6396.921
"South Sudan, Republic of",251.485
Spain,36192.363
Sri Lanka,no data
Sudan,624.899
Suriname,6857.826
Sweden,58100.193
Switzerland,104895.588
Syria,no data
São Tomé and Príncipe,3569.43
Taiwan Province of China,34426.354
Tajikistan,1432.039
Tanzania,1279.893
Thailand,7766.698
Timor-Leste,1491.288
Togo,1053.388
Tonga,5721.485
Trinidad and Tobago,18444.864
Tunisia,4528.048
Turkmenistan,13337.483
Tuvalu,6542.649
"Türkiye, Republic of",16708.904
Uganda,1338.497
Ukraine,6260.831
United Arab Emirates,49498.384
United Kingdom,54949.056
United States,89105.202
Uruguay,22693.039
Uzbekistan,3514.064
Vanuatu,3547.961
Venezuela,4068.087
Vietnam,4805.842
West Bank and Gaza,no data
Yemen,416.553
Zambia,1331.843
Zimbabwe,2198.842
