notifying_member,year,vigilance_index,vigilance_index_3y_ma,intensity_core,intensity_core_per_1m,intensity_core_per_10m,intensity_scaled,intensity_scaled_3y_ma,ban_flow,banflow_scaled,banflow_scaled_3y_ma,breadth,breadth_3y_ma,breadth_vectors,breadth_targets,total_notices,tier1_count,tier2_count,tier3_count,tier1_prop,tier1_prop_3y_ma,tier2_prop,tier2_prop_3y_ma,tier3_prop,tier3_prop_3y_ma,sps_engagement,sps_engagement_3y_ma,n_regular,n_emergency,n_regular_addenda,n_emergency_addenda,n_total,cum_n_regular,cum_n_emergency,cum_n_regular_addenda,cum_n_emergency_addenda,cum_n_total,cum_total_notices,population,n_total_per_1m,n_total_per_10m,cum_total_per_1m,cum_total_per_10m,contaminants,pathogens,pests,biotechnology,plant_health,animal_health,human_health
Afghanistan,2016,13.137030674229802,,1.65,0.04754959364981805,0.4754959364981805,0.57899360080048,,0.0,0.0,,64.38241776934792,,48.364738947344726,80.40009659135112,3,1,1,1,0.3333333333333333,,0.3333333333333333,,0.3333333333333333,,1,,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,34700612.0,0.08645380663603282,0.8645380663603282,0.08645380663603282,0.8645380663603282,0.65,0.0,1.0,0.0,1.0,0.15,0.5
Albania,1999,0.5287751200771232,,0.3,0.09650094024082774,0.9650094024082775,1.1750558223936072,,0.0,0.0,,-0.0,,-0.0,-0.0,2,0,0,2,0.0,,0.0,,1.0,,2,,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,3108778.0,0.6433396016055183,6.433396016055183,0.6433396016055183,6.433396016055183,0.0,0.0,0.3,0.0,0.0,0.0,0.3
Albania,2005,2.7917490985274265,1.660262109302275,1.0,0.3320618684390801,3.320618684390801,4.04339305845601,2.6092244404248084,1.0,2.7777777777777777,1.3888888888888888,-0.0,-0.0,-0.0,-0.0,1,1,0,0,1.0,0.5,0.0,0.0,0.0,0.5,0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,3.0,3.0,3011487.0,0.3320618684390801,3.320618684390801,0.9961856053172403,9.961856053172403,0.0,1.0,0.0,0.0,0.0,1.0,0.0
Albania,2007,85.72303510512774,29.681186441244094,40.5,13.636285583550531,136.36285583550531,100.0,35.07281629361654,40.0,100.0,34.25925925925926,28.615175525638648,9.53839184187955,19.047329285269505,38.18302176600779,41,40,1,0,0.975609756097561,0.6585365853658537,0.024390243902439025,0.008130081300813009,0.0,0.3333333333333333,0,0.6666666666666666,7.0,33.0,0.0,1.0,41.0,10.0,33.0,0.0,1.0,44.0,44.0,2970017.0,13.804634788285723,138.04634788285725,14.814730016696874,148.14730016696873,3.0,37.5,0.0,0.0,0.0,34.5,6.0
Albania,2008,85.74814215371627,58.087642119123814,52.5,17.81282890116221,178.12828901162212,100.0,68.01446435281868,50.0,100.0,67.5925925925926,28.740710768581355,19.11862876474,3.8809755563187083,53.600445980844,54,51,3,0,0.9444444444444444,0.9733514001806686,0.05555555555555555,0.026648599819331525,0.0,0.0,0,0.0,3.0,50.0,0.0,1.0,54.0,13.0,83.0,0.0,2.0,98.0,98.0,2947314.0,18.321766869766844,183.21766869766844,33.250613948836126,332.50613948836127,0.0,52.0,0.5,0.0,0.5,40.0,12.0
Albania,2009,77.7493035944804,83.0734936177748,30.0,10.247585071181433,102.47585071181433,100.0,100.0,29.0,80.55555555555556,93.51851851851852,22.77429575017976,26.710060681466587,-0.0,45.54859150035952,30,30,0,0,1.0,0.9733514001806686,0.0,0.026648599819331525,0.0,0.0,0,0.0,0.0,29.0,0.0,1.0,30.0,13.0,112.0,0.0,3.0,128.0,128.0,2927519.0,10.247585071181433,102.47585071181433,43.72302963704078,437.23029637040787,0.0,30.0,0.0,0.0,0.0,24.0,6.0
Albania,2010,21.85380006637434,61.783748604857,8.0,2.7462898482365903,27.4628984823659,33.44054335737508,77.81351445245836,7.0,19.444444444444446,66.66666666666667,-0.0,17.17166883958704,-0.0,-0.0,8,8,0,0,1.0,0.9814814814814815,0.0,0.018518518518518517,0.0,0.0,0,0.0,0.0,7.0,0.0,1.0,8.0,13.0,119.0,0.0,4.0,136.0,136.0,2913021.0,2.7462898482365903,27.4628984823659,46.68692742002203,466.86927420022033,0.0,8.0,0.0,0.0,0.0,8.0,0.0
Albania,2011,22.8665591756357,40.823220945496814,8.0,2.753687790320443,27.53687790320443,33.53062532857316,55.65705622864942,8.0,22.22222222222222,40.74074074074074,-0.0,7.591431916726587,-0.0,-0.0,8,8,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.0,0.0,1.0,8.0,13.0,126.0,0.0,5.0,144.0,144.0,2905195.0,2.753687790320443,27.53687790320443,49.56638022576798,495.6638022576798,0.0,8.0,0.0,0.0,0.0,8.0,0.0
Albania,2012,62.68296075547163,35.80110666582723,18.0,6.206038406413458,62.06038406413458,75.56860632917629,47.51325833837484,18.0,50.0,30.555555555555557,55.885439536711516,18.628479845570507,47.22442670831027,64.54645236511276,18,18,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,8.0,10.0,0.0,0.0,18.0,21.0,136.0,0.0,5.0,162.0,162.0,2900401.0,6.206038406413458,62.06038406413458,55.85434565772112,558.5434565772113,3.0,14.0,1.0,0.0,2.0,16.0,3.0
Albania,2013,32.460259707880944,39.33659321299609,11.5,3.972239915000974,39.72239915000974,48.368478363192224,52.48923667364722,11.0,30.555555555555557,34.25925925925926,-0.0,18.628479845570507,-0.0,-0.0,12,11,1,0,0.9166666666666666,0.9722222222222222,0.08333333333333333,0.027777777777777776,0.0,0.0,0,0.0,1.0,11.0,0.0,0.0,12.0,22.0,147.0,0.0,5.0,174.0,174.0,2895092.0,4.144945998261886,41.44945998261886,60.10171697479735,601.0171697479734,0.0,11.5,0.0,0.0,0.0,11.5,0.0
